Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2019,1,1,00:00,UTC,8,1000.4,100,1.3,11,0.3,0.3,2240,230,10,4.7
2019,1,1,01:00,UTC,8,998.2,100,0.1,12,1,1,2690,237,7.2,4.2
2019,1,1,02:00,UTC,8,996.2,100,0.7,11,1.5,1.5,2340,256,6.9,4
2019,1,1,03:00,UTC,8,993.9,100,0,11,1.9,1.9,2510,265,6.4,3.4
2019,1,1,04:00,UTC,8,991.4,100,0.5,10,2.1,2.1,3310,239,9.5,4.3
2019,1,1,05:00,UTC,8,989.5,100,0.3,9,2.5,2.5,2900,234,6.6,4.1
2019,1,1,06:00,UTC,8,987.9,100,0.1,9,2.7,2.7,3260,258,6.9,2.7
2019,1,1,07:00,UTC,8,986.1,100,0.7,8,2.6,2.6,2890,283,8.1,2
2019,1,1,08:00,UTC,8,984.5,100,0.4,8,2.5,2.5,3650,303,7,2.7
2019,1,1,09:00,UTC,8,983.1,100,0.2,7,2.8,2.8,3410,232,7.1,4.2
2019,1,1,10:00,UTC,8,981.5,100,0,7,3,3,4180,192,8.3,5.8
2019,1,1,11:00,UTC,8,980.7,100,0,7,3.1,3.1,5500,180,4.5,3.1
2019,1,1,12:00,UTC,8,980.5,100,0,7,2.8,2.8,3940,219,5.5,4.4
2019,1,1,13:00,UTC,8,980.4,100,0,7,2.9,2.9,50000,217,7,4.9
2019,1,1,14:00,UTC,8,980.4,100,0,7,2.4,2.4,6610,235,7.8,5.5
2019,1,1,15:00,UTC,8,980.5,100,0,7,1.9,1.9,50000,233,4.2,3
2019,1,1,16:00,UTC,8,980.7,100,0,6,1.8,1.8,26610,257,5.3,3.9
2019,1,1,17:00,UTC,7,980.8,100,0,6,1.3,1.3,50000,234,3.5,2.8
2019,1,1,18:00,UTC,8,981.2,100,0,6,1.3,1.3,38980,228,1.9,1.2
2019,1,1,19:00,UTC,8,981.6,100,0,6,1.2,1.2,3260,160,2.2,1.2
2019,1,1,20:00,UTC,8,982.2,100,0,6,1,1,3120,45,1.6,1.3
2019,1,1,21:00,UTC,8,983,100,0,6,1,1,5230,50,2.4,2
2019,1,1,22:00,UTC,8,983.8,100,0,6,1.4,1.4,50000,16,4.5,3.5
2019,1,1,23:00,UTC,8,984.9,100,0,6,0.9,0.9,16330,357,6.9,5.5
2019,1,2,00:00,UTC,8,986.5,100,0.3,6,1,1,4480,6,7.2,5.3
2019,1,2,01:00,UTC,8,988,99,0.4,6,0.7,0.6,6310,8,9.6,6.8
2019,1,2,02:00,UTC,8,989.5,98,0.4,7,0.4,0.1,3310,7,12.4,9.2
2019,1,2,03:00,UTC,8,991.6,97,1.3,6,-0.8,-1.3,940,3,18.6,12.1
2019,1,2,04:00,UTC,8,993.6,89,0,7,-1.9,-3.5,7170,8,17.9,12.5
2019,1,2,05:00,UTC,8,995.7,85,0,7,-2.3,-4.4,24240,10,18.6,12.7
2019,1,2,06:00,UTC,8,997.8,86,0,7,-2.3,-4.3,2610,12,17.9,12.5
2019,1,2,07:00,UTC,7,999.7,89,0.1,7,-2.8,-4.3,1750,10,18.5,10.7
2019,1,2,08:00,UTC,8,1001.6,88,0,7,-3.3,-5.1,2940,6,16.3,10.8
2019,1,2,09:00,UTC,8,1003,84,0,6,-3.6,-6,3910,5,17,11
2019,1,2,10:00,UTC,8,1004.3,85,0,6,-3.8,-6,1780,4,17.2,11.9
2019,1,2,11:00,UTC,8,1005.4,88,0.6,7,-4.3,-6,1120,359,16.1,11.2
2019,1,2,12:00,UTC,8,1006.7,84,0,6,-4.3,-6.7,,359,18.9,12
2019,1,2,13:00,UTC,7,1008.1,81,0,7,-4.5,-7.2,,360,15,11.4
2019,1,2,14:00,UTC,7,1009.6,76,0,7,-5.1,-8.6,50000,358,15.3,10
2019,1,2,15:00,UTC,2,1011,68,0,6,-5.9,-10.9,50000,356,15.6,11
2019,1,2,16:00,UTC,1,1012.1,68,0,6,-6.6,-11.5,50000,358,15.3,9.7
2019,1,2,17:00,UTC,7,1012.7,67,0,6,-6.8,-11.8,42320,358,17.6,11
2019,1,2,18:00,UTC,0,1013.6,70,0,6,-7.2,-11.8,50000,355,15.1,10.4
2019,1,2,19:00,UTC,0,1014.5,71,0,6,-7.5,-11.8,50000,359,12.6,8.5
2019,1,2,20:00,UTC,0,1015.2,74,0,7,-7.6,-11.4,50000,356,14.7,9.6
2019,1,2,21:00,UTC,0,1016.1,72,0,6,-7.6,-11.8,50000,1,11.8,8.3
2019,1,2,22:00,UTC,0,1017.1,69,0,6,-7.5,-12.2,50000,358,14.2,9.6
2019,1,2,23:00,UTC,0,1017.7,70,0,6,-7.8,-12.3,50000,2,12.5,9.1
2019,1,3,00:00,UTC,0,1018.6,68,0,7,-7.8,-12.7,50000,1,15.7,9.4
2019,1,3,01:00,UTC,0,1019.2,71,0,7,-8.3,-12.6,50000,356,12.3,9.3
2019,1,3,02:00,UTC,0,1020.2,74,0,7,-8.5,-12.3,50000,359,12,8.3
2019,1,3,03:00,UTC,0,1021.1,79,0,7,-9,-11.9,50000,354,11.5,8.1
2019,1,3,04:00,UTC,0,1022.1,81,0,7,-9.3,-11.9,50000,2,12.2,8.6
2019,1,3,05:00,UTC,0,1023.2,83,0,7,-9.8,-12.2,50000,1,10.4,7
2019,1,3,06:00,UTC,0,1024,80,0,7,-9.5,-12.3,50000,7,10.7,7.5
2019,1,3,07:00,UTC,0,1025.3,82,0,7,-10.3,-12.7,50000,358,9.3,6.8
2019,1,3,08:00,UTC,0,1026.2,83,0,7,-10.5,-12.8,50000,360,8.4,6.7
2019,1,3,09:00,UTC,0,1026.9,81,0,7,-10,-12.6,50000,6,8.3,6.1
2019,1,3,10:00,UTC,0,1027,81,0,7,-9.5,-12.2,50000,2,9.6,6.7
2019,1,3,11:00,UTC,0,1027.2,77,0,7,-9,-12.3,42630,8,6.5,5.1
2019,1,3,12:00,UTC,0,1027.3,77,0,7,-9.2,-12.5,50000,9,6.3,4.4
2019,1,3,13:00,UTC,0,1027.5,81,0,7,-10,-12.7,50000,348,6.8,5.1
2019,1,3,14:00,UTC,0,1028,85,0,7,-11.2,-13.3,50000,350,6.9,5.3
2019,1,3,15:00,UTC,0,1027.6,88,0,7,-12.2,-13.8,50000,345,4,3.1
2019,1,3,16:00,UTC,0,1027.8,88,0,7,-12.3,-13.8,50000,329,4.2,2.8
2019,1,3,17:00,UTC,0,1027.5,90,0,7,-12.9,-14.2,50000,330,3.2,2.6
2019,1,3,18:00,UTC,0,1026.7,91,0,7,-13.6,-14.8,50000,330,2.3,1.5
2019,1,3,19:00,UTC,0,1026,90,0,7,-13.9,-15.1,44890,317,2.5,1.5
2019,1,3,20:00,UTC,0,1024.9,91,0,7,-13.9,-15.1,6980,307,2.8,2
