Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,1,1,19:00,UTC,-1.2,-1.2
2021,1,1,19:10,UTC,-1.2,-1.1
2021,1,1,19:20,UTC,-1.2,-1
2021,1,1,19:30,UTC,-1.1,-0.8
2021,1,1,19:40,UTC,-1.1,-0.8
2021,1,1,19:50,UTC,-1.1,-1.1
2021,1,1,20:00,UTC,-1.1,-0.9
2021,1,1,20:10,UTC,-1.2,-0.9
2021,1,1,20:20,UTC,-1.3,-0.9
2021,1,1,20:30,UTC,-1.3,-1.2
2021,1,1,20:40,UTC,-1.2,-1.2
2021,1,1,20:50,UTC,-1.5,-1.4
2021,1,1,21:00,UTC,-1.5,-1.1
2021,1,1,21:10,UTC,-1.5,-1
2021,1,1,21:20,UTC,-1.4,-1.1
2021,1,1,21:30,UTC,-1.4,-0.8
2021,1,1,21:40,UTC,-1.4,-1
2021,1,1,21:50,UTC,-1.3,-1.4
2021,1,1,22:00,UTC,-1.4,-1
2021,1,1,22:10,UTC,-1.6,-0.9
2021,1,1,22:20,UTC,-1.6,-0.8
2021,1,1,22:30,UTC,-1.8,-1
2021,1,1,22:40,UTC,-1.7,-1.2
2021,1,1,22:50,UTC,-1.5,-0.9
2021,1,1,23:00,UTC,-1.7,-0.9
2021,1,1,23:10,UTC,-1.9,-1
2021,1,1,23:20,UTC,-1.9,-1
2021,1,1,23:30,UTC,-1.7,-0.9
2021,1,1,23:40,UTC,-1.8,-0.8
2021,1,1,23:50,UTC,-1.7,-0.9
2021,1,2,0:00,UTC,-1.7,-1
2021,1,2,0:10,UTC,-1.6,-1.1
2021,1,2,0:20,UTC,-1.6,-1.1
2021,1,2,0:30,UTC,-1.7,-0.9
2021,1,2,0:40,UTC,-1.7,-0.9
2021,1,2,0:50,UTC,-1.8,-1
2021,1,2,1:00,UTC,-1.7,-0.8
2021,1,2,1:10,UTC,-1.8,-0.9
2021,1,2,1:20,UTC,-1.8,-1
2021,1,2,1:30,UTC,-1.8,-1.2
2021,1,2,1:40,UTC,-1.9,-1.2
2021,1,2,1:50,UTC,-2.1,-1
2021,1,2,2:00,UTC,-2.3,-0.8
2021,1,2,2:10,UTC,-2.4,-0.9
2021,1,2,2:20,UTC,-2.6,-1
2021,1,2,2:30,UTC,-2.8,-1.1
2021,1,2,2:40,UTC,-2.9,-1
2021,1,2,2:50,UTC,-2.9,-1.1
2021,1,2,3:00,UTC,-3,-0.8
2021,1,2,3:10,UTC,-2.9,-0.8
2021,1,2,3:20,UTC,-2.9,-0.8
2021,1,2,3:30,UTC,-2.8,-0.8
2021,1,2,3:40,UTC,-2.8,-1
2021,1,2,3:50,UTC,-2.8,-1
2021,1,2,4:00,UTC,-2.8,-0.9
2021,1,2,4:10,UTC,-2.7,-0.8
2021,1,2,4:20,UTC,-2.7,-0.9
2021,1,2,4:30,UTC,-2.8,-1
2021,1,2,4:40,UTC,-2.7,-1
2021,1,2,4:50,UTC,-2.8,-0.9
2021,1,2,5:00,UTC,-2.7,-1.1
2021,1,2,5:10,UTC,-2.8,-1
2021,1,2,5:20,UTC,-2.7,-1
2021,1,2,5:30,UTC,-2.8,-1
2021,1,2,5:40,UTC,-2.8,-0.8
2021,1,2,5:50,UTC,-2.8,-0.8
2021,1,2,6:00,UTC,-2.7,-1.1
2021,1,2,6:10,UTC,-2.8,-1.1
2021,1,2,6:20,UTC,-2.8,-0.9
2021,1,2,6:30,UTC,-2.8,-0.8
2021,1,2,6:40,UTC,-2.8,-0.7
2021,1,2,6:50,UTC,-2.7,-1.4
2021,1,2,7:00,UTC,-2.7,-1.1
2021,1,2,7:10,UTC,-2.7,-1
2021,1,2,7:20,UTC,-2.8,-0.8
2021,1,2,7:30,UTC,-2.7,0
2021,1,2,7:40,UTC,-2.8,0.2
2021,1,2,7:50,UTC,-2.8,2
2021,1,2,8:00,UTC,-2.8,4.1
2021,1,2,8:10,UTC,-2.8,5.7
2021,1,2,8:20,UTC,-2.8,5.8
2021,1,2,8:30,UTC,-2.8,10.7
2021,1,2,8:40,UTC,-2.8,13.9
2021,1,2,8:50,UTC,-2.7,14
2021,1,2,9:00,UTC,-2.8,17.8
2021,1,2,9:10,UTC,-2.8,14.6
2021,1,2,9:20,UTC,-2.7,18.9
2021,1,2,9:30,UTC,-2.7,19.4
2021,1,2,9:40,UTC,-2.6,22.8
2021,1,2,9:50,UTC,-2.6,27.4
2021,1,2,10:00,UTC,-2.6,28.3
2021,1,2,10:10,UTC,-2.7,40.1
2021,1,2,10:20,UTC,-2.6,31.8
2021,1,2,10:30,UTC,-2.6,29.8
2021,1,2,10:40,UTC,-2.7,29.3
2021,1,2,10:50,UTC,-2.7,26.1
2021,1,2,11:00,UTC,-2.6,22
2021,1,2,11:10,UTC,-2.6,22.1
2021,1,2,11:20,UTC,-2.6,23.1
2021,1,2,11:30,UTC,-2.6,23.5
2021,1,2,11:40,UTC,-2.6,20.8
2021,1,2,11:50,UTC,-2.6,17.7
2021,1,2,12:00,UTC,-2.6,15.5
2021,1,2,12:10,UTC,-2.7,13.9
2021,1,2,12:20,UTC,-2.6,13.8
2021,1,2,12:30,UTC,-2.7,10.9
2021,1,2,12:40,UTC,-2.7,9.6
2021,1,2,12:50,UTC,-2.7,6.7
2021,1,2,13:00,UTC,-2.8,4.4
2021,1,2,13:10,UTC,-2.8,2.5
2021,1,2,13:20,UTC,-2.8,1.3
2021,1,2,13:30,UTC,-2.8,0.1
2021,1,2,13:40,UTC,-2.8,-0.2
2021,1,2,13:50,UTC,-2.8,-0.5
2021,1,2,14:00,UTC,-2.8,-0.9
2021,1,2,14:10,UTC,-2.9,-1.1
2021,1,2,14:20,UTC,-2.9,-0.9
2021,1,2,14:30,UTC,-2.9,-0.9
2021,1,2,14:40,UTC,-2.9,-1
2021,1,2,14:50,UTC,-2.9,-1.2
2021,1,2,15:00,UTC,-3,-1.5
2021,1,2,15:10,UTC,-3,-1.5
2021,1,2,15:20,UTC,-3,-1.1
2021,1,2,15:30,UTC,-3,-0.9
2021,1,2,15:40,UTC,-3,-1
2021,1,2,15:50,UTC,-3,-1.4
2021,1,2,16:00,UTC,-3,-1.2
2021,1,2,16:10,UTC,-3,-1
2021,1,2,16:20,UTC,-3,-1.1
2021,1,2,16:30,UTC,-3,-1.2
2021,1,2,16:40,UTC,-3,-1.2
2021,1,2,16:50,UTC,-3,-1
2021,1,2,17:00,UTC,-3,-1.1
2021,1,2,17:10,UTC,-3.1,-1.2
2021,1,2,17:20,UTC,-3.1,-1.3
2021,1,2,17:30,UTC,-3.1,-0.8
2021,1,2,17:40,UTC,-3.1,-0.9
2021,1,2,17:50,UTC,-3.1,-0.7
2021,1,2,18:00,UTC,-3.1,-1
2021,1,2,18:10,UTC,-3.1,-1
2021,1,2,18:20,UTC,-3.1,-1.1
2021,1,2,18:30,UTC,-3.2,-0.9
2021,1,2,18:40,UTC,-3.3,-0.9
2021,1,2,18:50,UTC,-3.3,-0.9
2021,1,2,19:00,UTC,-3.3,-1.1
2021,1,2,19:10,UTC,-3.3,-1
2021,1,2,19:20,UTC,-3.3,-1.3
2021,1,2,19:30,UTC,-3.4,-0.9
2021,1,2,19:40,UTC,-3.4,-0.8
2021,1,2,19:50,UTC,-3.5,-1
2021,1,2,20:00,UTC,-3.5,-1.1
2021,1,2,20:10,UTC,-3.6,-1
2021,1,2,20:20,UTC,-3.6,-1
2021,1,2,20:30,UTC,-3.6,-1.1
2021,1,2,20:40,UTC,-3.6,-1.2
2021,1,2,20:50,UTC,-3.6,-0.8
2021,1,2,21:00,UTC,-3.7,-1.2
2021,1,2,21:10,UTC,-3.6,-1.1
2021,1,2,21:20,UTC,-3.7,-1.1
2021,1,2,21:30,UTC,-3.7,-1.1
2021,1,2,21:40,UTC,-3.7,-1.3
2021,1,2,21:50,UTC,-3.8,-0.9
2021,1,2,22:00,UTC,-3.8,-1
2021,1,2,22:10,UTC,-3.8,-1.1
2021,1,2,22:20,UTC,-3.9,-1
2021,1,2,22:30,UTC,-3.9,-1.1
2021,1,2,22:40,UTC,-3.9,-1.1
2021,1,2,22:50,UTC,-4,-0.9
2021,1,2,23:00,UTC,-3.9,-1.1
2021,1,2,23:10,UTC,-4,-1.1
2021,1,2,23:20,UTC,-4,-0.9
