Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,5,1,20:00,UTC,0.1,-1.5
2021,5,1,20:10,UTC,0.5,-1.3
2021,5,1,20:20,UTC,0.5,-1.4
2021,5,1,20:30,UTC,0.3,-1.8
2021,5,1,20:40,UTC,-0.6,-2.4
2021,5,1,20:50,UTC,-1.8,-2.4
2021,5,1,21:00,UTC,-1.8,-2.4
2021,5,1,21:10,UTC,-2.4,-2.2
2021,5,1,21:20,UTC,-3.3,-2
2021,5,1,21:30,UTC,-3.6,-2.2
2021,5,1,21:40,UTC,-3.4,-2.3
2021,5,1,21:50,UTC,-3.8,-2.2
2021,5,1,22:00,UTC,-3.9,-2.2
2021,5,1,22:10,UTC,-3.5,-2.1
2021,5,1,22:20,UTC,-3.6,-2.3
2021,5,1,22:30,UTC,-3.7,-2.2
2021,5,1,22:40,UTC,-3.9,-2.3
2021,5,1,22:50,UTC,-4.2,-2.1
2021,5,1,23:00,UTC,-4.6,-2.3
2021,5,1,23:10,UTC,-4.5,-2
2021,5,1,23:20,UTC,-4.4,-2
2021,5,1,23:30,UTC,-4.7,-2.3
2021,5,1,23:40,UTC,-4.9,-1.9
2021,5,1,23:50,UTC,-4.9,-2.1
2021,5,2,0:00,UTC,-4.6,-2.2
2021,5,2,0:10,UTC,-4.7,-1.9
2021,5,2,0:20,UTC,-4.9,-2.2
2021,5,2,0:30,UTC,-4.9,-2.2
2021,5,2,0:40,UTC,-5.1,-2.2
2021,5,2,0:50,UTC,-5.5,-2.2
2021,5,2,1:00,UTC,-5.8,-1.9
2021,5,2,1:10,UTC,-6.1,-2
2021,5,2,1:20,UTC,-6.3,-2.1
2021,5,2,1:30,UTC,-6.1,-1.4
2021,5,2,1:40,UTC,-6.2,-0.5
2021,5,2,1:50,UTC,-6.5,0.8
2021,5,2,2:00,UTC,-6.5,2.9
2021,5,2,2:10,UTC,-6.5,6
2021,5,2,2:20,UTC,-6.1,15.1
2021,5,2,2:30,UTC,-6.3,24.2
2021,5,2,2:40,UTC,-6.1,35.4
2021,5,2,2:50,UTC,-5.8,49.1
2021,5,2,3:00,UTC,-5.4,66
2021,5,2,3:10,UTC,-5,82.1
2021,5,2,3:20,UTC,-4.6,100.7
2021,5,2,3:30,UTC,-4,120.9
2021,5,2,3:40,UTC,-3.6,152.3
2021,5,2,3:50,UTC,-2.7,203.6
2021,5,2,4:00,UTC,-1.6,250.5
2021,5,2,4:10,UTC,-1.3,164.5
2021,5,2,4:20,UTC,-1.5,78.3
2021,5,2,4:30,UTC,-1.8,64.2
2021,5,2,4:40,UTC,-0.9,280.6
2021,5,2,4:50,UTC,0.4,346.4
2021,5,2,5:00,UTC,1.9,331.6
2021,5,2,5:10,UTC,2.5,342.7
2021,5,2,5:20,UTC,2.7,356.9
2021,5,2,5:30,UTC,2.7,377.5
2021,5,2,5:40,UTC,2.9,399.9
2021,5,2,5:50,UTC,3.5,421
2021,5,2,6:00,UTC,3.9,442.3
2021,5,2,6:10,UTC,3.8,463.3
2021,5,2,6:20,UTC,4,483.4
2021,5,2,6:30,UTC,4.4,504.1
2021,5,2,6:40,UTC,4.8,522.7
2021,5,2,6:50,UTC,4.8,544
2021,5,2,7:00,UTC,5.2,562.9
2021,5,2,7:10,UTC,5,586.4
2021,5,2,7:20,UTC,5.1,600.9
2021,5,2,7:30,UTC,5.3,610.8
2021,5,2,7:40,UTC,6.3,631.3
2021,5,2,7:50,UTC,5.5,711.2
2021,5,2,8:00,UTC,5.6,602.7
2021,5,2,8:10,UTC,5.8,188.3
2021,5,2,8:20,UTC,5.3,293.6
2021,5,2,8:30,UTC,6.8,948.4
2021,5,2,8:40,UTC,6.3,361.8
2021,5,2,8:50,UTC,5.8,251.8
2021,5,2,9:00,UTC,6.4,820.2
2021,5,2,9:10,UTC,5.9,604.2
2021,5,2,9:20,UTC,7,889.6
2021,5,2,9:30,UTC,7.2,732.9
2021,5,2,9:40,UTC,6.6,205.4
2021,5,2,9:50,UTC,6.9,848.4
2021,5,2,10:00,UTC,7,878.6
2021,5,2,10:10,UTC,8.3,957.5
2021,5,2,10:20,UTC,7.9,386.6
2021,5,2,10:30,UTC,6.6,223.5
2021,5,2,10:40,UTC,6.6,259.7
2021,5,2,10:50,UTC,6.7,264
2021,5,2,11:00,UTC,7,765.1
2021,5,2,11:10,UTC,7.9,889.6
2021,5,2,11:20,UTC,8.1,529.7
2021,5,2,11:30,UTC,8.3,391.7
2021,5,2,11:40,UTC,7.3,331.6
2021,5,2,11:50,UTC,7.1,339.9
2021,5,2,12:00,UTC,7.2,345.4
2021,5,2,12:10,UTC,7.1,289.6
2021,5,2,12:20,UTC,7,281.3
2021,5,2,12:30,UTC,7.2,290.4
2021,5,2,12:40,UTC,7,303.8
2021,5,2,12:50,UTC,7.2,287.7
2021,5,2,13:00,UTC,7.1,241.6
2021,5,2,13:10,UTC,7,214.7
2021,5,2,13:20,UTC,7.2,243.8
2021,5,2,13:30,UTC,8.4,803.6
2021,5,2,13:40,UTC,7.4,315.1
2021,5,2,13:50,UTC,7.3,240.4
2021,5,2,14:00,UTC,7.2,224.8
2021,5,2,14:10,UTC,7.2,184.1
2021,5,2,14:20,UTC,7.4,239
2021,5,2,14:30,UTC,7.4,245.5
2021,5,2,14:40,UTC,7.6,266.8
2021,5,2,14:50,UTC,7.1,215.3
2021,5,2,15:00,UTC,7.2,195.1
